,Company,Review Date,Cocoa Percent,Company Location,Rating,Origin,Cocoa Category,Clusters,Cluster
121,Artisan du Chocolat,2013,0.72,U.K.,3.25,Trinidad,Medium Cocoa Mass,0,pink
122,Artisan du Chocolat,2012,0.72,U.K.,3.75,Colombia,Medium Cocoa Mass,0,pink
123,Artisan du Chocolat,2011,0.72,U.K.,4.0,Haiti,Medium Cocoa Mass,0,pink
124,Artisan du Chocolat,2011,0.72,U.K.,2.75,Panama,Medium Cocoa Mass,0,pink
125,Artisan du Chocolat,2010,1.0,U.K.,1.75,Venezuela,High Cocoa Mass,0,pink
126,Artisan du Chocolat,2010,0.72,U.K.,3.75,Jamaica,Medium Cocoa Mass,0,pink
127,Artisan du Chocolat,2010,0.72,U.K.,3.25,Costa Rica,Medium Cocoa Mass,0,pink
128,Artisan du Chocolat,2010,0.72,U.K.,3.25,Vietnam,Medium Cocoa Mass,0,pink
129,Artisan du Chocolat,2010,0.72,U.K.,3.5,Indonesia,Medium Cocoa Mass,0,pink
130,Artisan du Chocolat,2009,0.75,U.K.,2.5,Venezuela,Medium Cocoa Mass,2,dark purple
131,Artisan du Chocolat,2009,0.72,U.K.,2.75,Indonesia,Medium Cocoa Mass,2,dark purple
132,Artisan du Chocolat,2009,0.72,U.K.,1.75,Brazil,Medium Cocoa Mass,2,dark purple
133,Artisan du Chocolat,2009,0.8,U.K.,3.0,Madagascar,High Cocoa Mass,2,dark purple
134,Artisan du Chocolat,2009,0.75,U.K.,3.0,Peru,Medium Cocoa Mass,2,dark purple
135,Artisan du Chocolat,2009,0.72,U.K.,3.25,Dominican Republic,Medium Cocoa Mass,2,dark purple
136,Artisan du Chocolat,2008,0.72,U.K.,3.75,Congo,Medium Cocoa Mass,2,dark purple
137,Artisan du Chocolat (Casa Luker),2013,0.72,U.K.,2.75,Colombia,Medium Cocoa Mass,0,pink
138,Askinosie,2016,0.68,U.S.A.,3.75,Tanzania,Low Cocoa Mass,1,purple
139,Askinosie,2011,0.72,U.S.A.,3.75,Tanzania,Medium Cocoa Mass,0,pink
140,Askinosie,2011,0.7,U.S.A.,3.75,Honduras,Medium Cocoa Mass,0,pink
141,Askinosie,2009,0.77,U.S.A.,3.75,Philippines,Medium Cocoa Mass,2,dark purple
142,Askinosie,2007,0.75,U.S.A.,2.5,Mexico,Medium Cocoa Mass,2,dark purple
143,Askinosie,2007,0.7,U.S.A.,3.0,Ecuador,Medium Cocoa Mass,2,dark purple
144,Bahen & Co.,2015,0.8,Australia,3.25, ,High Cocoa Mass,1,purple
145,Bahen & Co.,2015,0.7,Australia,3.5,Papua New Guinea,Medium Cocoa Mass,1,purple
146,Bahen & Co.,2012,0.7,Australia,3.0,Madagascar,Medium Cocoa Mass,0,pink
147,Bahen & Co.,2012,0.7,Australia,2.5,Brazil,Medium Cocoa Mass,0,pink
148,Bahen & Co.,2012,0.7,Australia,2.5, ,Medium Cocoa Mass,0,pink
149,Bakau,2015,0.7,Peru,2.75,Peru,Medium Cocoa Mass,1,purple
150,Bakau,2015,0.7,Peru,3.5,Peru,Medium Cocoa Mass,1,purple
151,Bar Au Chocolat,2015,0.7,U.S.A.,3.5,Brazil,Medium Cocoa Mass,1,purple
152,Bar Au Chocolat,2014,0.7,U.S.A.,4.0,Peru,Medium Cocoa Mass,1,purple
153,Bar Au Chocolat,2012,0.7,U.S.A.,3.25,Dominican Republic,Medium Cocoa Mass,0,pink
154,Bar Au Chocolat,2012,0.7,U.S.A.,3.5,Mexico,Medium Cocoa Mass,0,pink
155,Bar Au Chocolat,2012,0.7,U.S.A.,3.75,Madagascar,Medium Cocoa Mass,0,pink
156,Baravelli's,2012,0.8,Wales,2.75,Costa Rica,High Cocoa Mass,0,pink
157,Batch,2016,0.65,U.S.A.,3.5,Domincan Republic,Low Cocoa Mass,1,purple
158,Batch,2016,0.7,U.S.A.,3.75,Brazil,Medium Cocoa Mass,1,purple
159,Batch,2016,0.65,U.S.A.,3.25,Ecuador,Low Cocoa Mass,1,purple
160,Beau Cacao,2017,0.73,U.K.,3.0,Malaysia,Medium Cocoa Mass,1,purple
161,Beau Cacao,2017,0.72,U.K.,3.25,Malaysia,Medium Cocoa Mass,1,purple
162,Beehive,2016,0.8,U.S.A.,2.75,Brazil,High Cocoa Mass,1,purple
163,Beehive,2016,0.7,U.S.A.,2.75,Domincan Republic,Medium Cocoa Mass,1,purple
164,Beehive,2016,0.7,U.S.A.,2.75,Ecuador,Medium Cocoa Mass,1,purple
165,Beehive,2016,0.9,U.S.A.,2.75,Ecuador,High Cocoa Mass,1,purple
166,Belcolade,2010,0.64,Belgium,2.75,Costa Rica,Low Cocoa Mass,0,pink
167,Belcolade,2010,0.64,Belgium,2.75,Papua New Guinea,Low Cocoa Mass,0,pink
168,Belcolade,2010,0.64,Belgium,2.75,Peru,Low Cocoa Mass,0,pink
169,Belcolade,2010,0.71,Belgium,3.5,Ecuador,Medium Cocoa Mass,0,pink
170,Bellflower,2016,0.7,U.S.A.,3.5,Tanzania,Medium Cocoa Mass,1,purple
171,Bellflower,2016,0.7,U.S.A.,3.25,Bolivia,Medium Cocoa Mass,1,purple
172,Bellflower,2016,0.7,U.S.A.,3.5,Domincan Republic,Medium Cocoa Mass,1,purple
173,Belyzium,2016,0.83,Germany,2.75,Belize,High Cocoa Mass,1,purple
174,Belyzium,2016,0.78,Germany,3.0,Belize,Medium Cocoa Mass,1,purple
175,Belyzium,2016,0.83,Germany,3.5,Belize,High Cocoa Mass,1,purple
176,Benoit Nihant,2013,0.74,Belgium,3.5,Cuba,Medium Cocoa Mass,0,pink
177,Benoit Nihant,2013,0.74,Belgium,3.5,Venezuela,Medium Cocoa Mass,0,pink
178,Benoit Nihant,2013,0.74,Belgium,3.5,Venezuela,Medium Cocoa Mass,0,pink
179,Benoit Nihant,2013,0.73,Belgium,4.0,Ecuador,Medium Cocoa Mass,0,pink
180,Benoit Nihant,2011,0.72,Belgium,4.0,Indonesia,Medium Cocoa Mass,0,pink
181,Benoit Nihant,2011,0.72,Belgium,3.75,Madagascar,Medium Cocoa Mass,0,pink
182,Bernachon,2012,0.55,France,2.75, ,Low Cocoa Mass,0,pink
183,Beschle (Felchlin),2011,0.64,Switzerland,3.0,Madagascar,Low Cocoa Mass,0,pink
184,Beschle (Felchlin),2011,0.88,Switzerland,3.0,Venezuela,High Cocoa Mass,0,pink
185,Beschle (Felchlin),2011,0.72,Switzerland,3.5,Venezuela,Medium Cocoa Mass,0,pink
186,Beschle (Felchlin),2011,0.72,Switzerland,4.0,Ecuador,Medium Cocoa Mass,0,pink
187,Beschle (Felchlin),2010,0.7,Switzerland,3.25,Venezuela,Medium Cocoa Mass,0,pink
188,Beschle (Felchlin),2010,0.74,Switzerland,3.25,Venezuela,Medium Cocoa Mass,0,pink
189,Beschle (Felchlin),2010,0.64,Switzerland,3.5,Indonesia,Low Cocoa Mass,0,pink
190,Beschle (Felchlin),2010,0.72,Switzerland,3.5,Venezuela,Medium Cocoa Mass,0,pink
191,Bisou,2015,0.76,U.S.A.,2.5,Nicaragua,Medium Cocoa Mass,1,purple
192,Bisou,2015,0.76,U.S.A.,2.5,Costa Rica,Medium Cocoa Mass,1,purple
193,Bisou,2015,0.78,U.S.A.,2.5,Costa Rica,Medium Cocoa Mass,1,purple
194,Bisou,2015,0.86,U.S.A.,3.25,Belize,High Cocoa Mass,1,purple
195,Bittersweet Origins,2012,0.72,U.S.A.,3.5,Ghana,Medium Cocoa Mass,0,pink
196,Bittersweet Origins,2010,0.75,U.S.A.,3.25,Indonesia,Medium Cocoa Mass,0,pink
197,Bittersweet Origins,2010,0.7,U.S.A.,3.75,"Dominican Rep., Bali",Medium Cocoa Mass,0,pink
198,Bittersweet Origins,2010,0.65,U.S.A.,2.75,Indonesia,Low Cocoa Mass,0,pink
199,Bittersweet Origins,2010,0.7,U.S.A.,3.0,Madagascar,Medium Cocoa Mass,0,pink
200,Bittersweet Origins,2010,0.78,U.S.A.,3.0,Venezuela,Medium Cocoa Mass,0,pink
201,Bittersweet Origins,2009,0.75,U.S.A.,3.0,Dominican Republic,Medium Cocoa Mass,2,dark purple
202,Bittersweet Origins,2009,0.65,U.S.A.,3.5,Dominican Republic,Low Cocoa Mass,2,dark purple
203,Bittersweet Origins,2009,0.75,U.S.A.,3.25,Madagascar,Medium Cocoa Mass,2,dark purple
204,Bittersweet Origins,2009,0.65,U.S.A.,3.5,Madagascar,Low Cocoa Mass,2,dark purple
205,Bittersweet Origins,2008,0.71,U.S.A.,3.0,Madagascar,Medium Cocoa Mass,2,dark purple
206,Bittersweet Origins,2008,0.75,U.S.A.,3.5,Panama,Medium Cocoa Mass,2,dark purple
207,Bittersweet Origins,2008,0.68,U.S.A.,3.75,Dominican Republic,Low Cocoa Mass,2,dark purple
208,Bittersweet Origins,2008,0.7,U.S.A.,3.0,Ghana,Medium Cocoa Mass,2,dark purple
209,Black Mountain,2008,0.7,U.S.A.,2.75,Dominican Republic,Medium Cocoa Mass,2,dark purple
210,Black Mountain,2008,0.7,U.S.A.,2.75,Venezuela,Medium Cocoa Mass,2,dark purple
211,Black Mountain,2008,0.7,U.S.A.,3.0,Nicaragua,Medium Cocoa Mass,2,dark purple
212,Black River (A. Morin),2014,0.7,U.K.,2.75,Jamaica,Medium Cocoa Mass,1,purple
213,Blanxart,2013,0.82,Spain,3.5,Congo,High Cocoa Mass,0,pink
214,Blanxart,2009,0.72,Spain,2.75, ,Medium Cocoa Mass,2,dark purple
215,Blue Bandana,2016,0.82,U.S.A.,3.5,Madagascar,High Cocoa Mass,1,purple
216,Blue Bandana,2016,0.75,U.S.A.,2.75,Guatemala,Medium Cocoa Mass,1,purple
217,Blue Bandana,2016,0.75,U.S.A.,3.5,Tanzania,Medium Cocoa Mass,1,purple
218,Blue Bandana,2016,0.75,U.S.A.,3.0,Dominican Republic,Medium Cocoa Mass,1,purple
219,Blue Bandana,2012,0.7,U.S.A.,3.5,Guatemala,Medium Cocoa Mass,0,pink
220,Blue Bandana,2012,0.7,U.S.A.,3.75,Madagascar,Medium Cocoa Mass,0,pink
221,Bonnat,2016,0.75,France,3.5,Mexico,Medium Cocoa Mass,1,purple
222,Bonnat,2014,0.75,France,4.0,Brazil,Medium Cocoa Mass,1,purple
223,Bonnat,2014,0.75,France,3.25,Dominican Republic,Medium Cocoa Mass,1,purple
224,Bonnat,2014,0.65,France,3.75,"Venez,Africa,Brasil,Peru,Mex",Low Cocoa Mass,1,purple
225,Bonnat,2013,0.75,France,3.5,Brazil,Medium Cocoa Mass,0,pink
226,Bonnat,2013,0.75,France,3.25,Gabon,Medium Cocoa Mass,0,pink
227,Bonnat,2011,0.75,France,3.5,Cuba,Medium Cocoa Mass,0,pink
228,Bonnat,2011,0.75,France,3.5,Peru,Medium Cocoa Mass,0,pink
229,Bonnat,2011,0.75,France,3.5,Peru,Medium Cocoa Mass,0,pink
230,Bonnat,2011,0.75,France,3.75,Brazil,Medium Cocoa Mass,0,pink
231,Bonnat,2011,0.75,France,4.0,Haiti,Medium Cocoa Mass,0,pink
232,Bonnat,2011,0.75,France,4.0,Madagascar,Medium Cocoa Mass,0,pink
233,Bonnat,2011,0.75,France,3.5,Brazil,Medium Cocoa Mass,0,pink
234,Bonnat,2011,0.75,France,3.25,Jamaica,Medium Cocoa Mass,0,pink
235,Bonnat,2009,0.75,France,3.0,Ivory Coast,Medium Cocoa Mass,2,dark purple
236,Bonnat,2009,0.75,France,2.75,Peru,Medium Cocoa Mass,2,dark purple
237,Bonnat,2009,0.75,France,3.0,Mexico,Medium Cocoa Mass,2,dark purple
238,Bonnat,2009,0.75,France,3.0,Mexico,Medium Cocoa Mass,2,dark purple
239,Bonnat,2008,0.75,France,4.0,Venezuela,Medium Cocoa Mass,2,dark purple
240,Bonnat,2007,0.75,France,2.5,Ecuador,Medium Cocoa Mass,2,dark purple
241,Bonnat,2006,0.75,France,3.75,Carribean,Medium Cocoa Mass,2,dark purple
242,Bonnat,2006,0.75,France,4.0,Venezuela,Medium Cocoa Mass,2,dark purple
243,Bonnat,2006,0.75,France,4.0,Venezuela,Medium Cocoa Mass,2,dark purple
244,Bonnat,2006,0.75,France,4.0,Madagascar,Medium Cocoa Mass,2,dark purple
245,Bonnat,2006,1.0,France,1.5, ,High Cocoa Mass,2,dark purple
246,Bonnat,2006,0.75,France,3.0,Sri Lanka,Medium Cocoa Mass,2,dark purple
247,Bonnat,2006,0.75,France,4.0,Venezuela,Medium Cocoa Mass,2,dark purple
248,Bouga Cacao (Tulicorp),2009,0.77,Ecuador,3.25,Ecuador,Medium Cocoa Mass,2,dark purple
249,Bouga Cacao (Tulicorp),2009,1.0,Ecuador,1.5,Ecuador,High Cocoa Mass,2,dark purple
250,Bowler Man,2014,0.7,U.S.A.,2.75,Belize,Medium Cocoa Mass,1,purple
251,Bowler Man,2014,0.7,U.S.A.,2.75,Dominican Republic,Medium Cocoa Mass,1,purple
252,Brasstown aka It's Chocolate,2016,0.7,U.S.A.,3.5,Venezuela,Medium Cocoa Mass,1,purple
253,Brasstown aka It's Chocolate,2016,0.7,U.S.A.,3.75,Nicaragua,Medium Cocoa Mass,1,purple
254,Brasstown aka It's Chocolate,2015,0.68,U.S.A.,3.75,Dominican Republic,Low Cocoa Mass,1,purple
255,Brasstown aka It's Chocolate,2014,0.7,U.S.A.,3.75,Belize,Medium Cocoa Mass,1,purple
256,Brasstown aka It's Chocolate,2014,0.7,U.S.A.,4.0,Venezuela,Medium Cocoa Mass,1,purple
257,Brasstown aka It's Chocolate,2013,0.72,U.S.A.,3.0,Dominican Republic,Medium Cocoa Mass,0,pink
258,Brasstown aka It's Chocolate,2013,0.7,U.S.A.,3.25,Ecuador,Medium Cocoa Mass,0,pink
259,Brasstown aka It's Chocolate,2013,0.75,U.S.A.,3.5,Ghana,Medium Cocoa Mass,0,pink
260,Brasstown aka It's Chocolate,2013,0.85,U.S.A.,3.5,Venezuela,High Cocoa Mass,0,pink
261,Brazen,2015,0.6,U.S.A.,3.0,Dominican Republic,Low Cocoa Mass,1,purple
262,Brazen,2015,0.8,U.S.A.,3.25,Dominican Republic,High Cocoa Mass,1,purple
263,Brazen,2015,0.7,U.S.A.,3.5,Guatemala,Medium Cocoa Mass,1,purple
264,Brazen,2015,0.8,U.S.A.,2.75,Madagascar,High Cocoa Mass,1,purple
265,Brazen,2015,0.8,U.S.A.,3.25,Belize,High Cocoa Mass,1,purple
266,Brazen,2015,0.6,U.S.A.,3.25,Madagascar,Low Cocoa Mass,1,purple
267,Breeze Mill,2013,0.7,U.S.A.,3.0,Jamaica,Medium Cocoa Mass,0,pink
268,Bright,2014,0.72,Australia,3.0,Madagascar,Medium Cocoa Mass,1,purple
269,Bright,2014,0.7,Australia,3.5,Dominican Republic,Medium Cocoa Mass,1,purple
270,Bright,2014,0.72,Australia,3.5,Ecuador,Medium Cocoa Mass,1,purple
271,Bright,2014,0.68,Australia,2.75,Trinidad,Low Cocoa Mass,1,purple
272,Britarev,2015,0.7,Russia,3.25,Ecuador,Medium Cocoa Mass,1,purple
273,Bronx Grrl Chocolate,2013,0.68,U.S.A.,2.75,Dominican Republic,Low Cocoa Mass,0,pink
274,Burnt Fork Bend,2014,0.72,U.S.A.,3.25,Trinidad,Medium Cocoa Mass,1,purple
275,Burnt Fork Bend,2014,0.72,U.S.A.,3.5,Ecuador,Medium Cocoa Mass,1,purple
276,Burnt Fork Bend,2014,0.72,U.S.A.,3.25,Belize,Medium Cocoa Mass,1,purple
277,Burnt Fork Bend,2014,0.72,U.S.A.,3.25, ,Medium Cocoa Mass,1,purple
278,Burnt Fork Bend,2014,0.6,U.S.A.,2.5,Ecuador,Low Cocoa Mass,1,purple
279,Cacao Arabuco,2015,0.7,Puerto Rico,2.5,Puerto Rico,Medium Cocoa Mass,1,purple
280,Cacao Atlanta,2014,0.75,U.S.A.,2.5,Peru,Medium Cocoa Mass,1,purple
281,Cacao Atlanta,2010,0.75,U.S.A.,2.5,Dominican Republic,Medium Cocoa Mass,0,pink
282,Cacao Atlanta,2010,0.75,U.S.A.,2.75,Dominican Republic,Medium Cocoa Mass,0,pink
283,Cacao Atlanta,2010,0.75,U.S.A.,2.25,Venezuela,Medium Cocoa Mass,0,pink
284,Cacao Barry,2016,0.65,France,3.5,Haiti,Low Cocoa Mass,1,purple
285,Cacao Barry,2010,0.7,France,3.0,Dominican Republic,Medium Cocoa Mass,0,pink
